Timestamp_ns,Loss_dB,TxAntGain_dB,RxAntGain_dB,PropGain_dB,Pathloss_dB,Delay_ns,SrcId,SrcX,SrcY,SrcZ,DstId,DstX,DstY,DstZ
81,82.2156,0,0,-82.2156,82.2156,81,0,0,0,10,6,1.53407,22.633,1.5
92,83.7694,0,0,-83.7694,83.7694,92,0,0,0,10,4,-11.3816,23.54,1.5
95,83.5961,0,0,-83.5961,83.5961,95,0,0,0,10,7,6.81259,26.2351,1.5
100,83.9173,0,0,-83.9173,83.9173,100,0,0,0,10,19,9.03328,27.1796,1.5
113,84.6558,0,0,-84.6558,84.6558,113,0,0,0,10,9,5.56353,32.1928,1.5
114,84.5726,0,0,-84.5726,84.5726,114,0,0,0,10,1,-8.2831,32.089,1.5
122,85.257,0,0,-85.257,85.257,122,0,0,0,10,16,10.7662,33.9139,1.5
169,96.8431,0,0,-96.8431,96.8431,169,0,0,0,10,13,20.7076,45.3977,1.5
174,99.1425,0,0,-99.1425,99.1425,174,0,0,0,10,2,-2.22945,51.5363,1.5
176,95.974,0,0,-95.974,95.974,176,0,0,0,10,20,14.3332,50.0297,1.5
187,95.3644,0,0,-95.3644,95.3644,187,0,0,0,10,5,-22.0159,50.7674,1.5
217,102.659,0,0,-102.659,102.659,217,0,0,0,10,3,-25.2835,59.4869,1.5
229,100.777,0,0,-100.777,100.777,229,0,0,0,10,17,28.6707,61.9473,1.5
231,96.1691,0,0,-96.1691,96.1691,231,0,0,0,10,11,13.0927,67.5504,1.5
254,96.5645,0,0,-96.5645,96.5645,254,0,0,0,10,10,-1.16568,75.7663,1.5
256,105.151,0,0,-105.151,105.151,256,0,0,0,10,8,-23.8062,72.3358,1.5
263,105.076,0,0,-105.076,105.076,263,0,0,0,10,15,28.1569,73.0835,1.5
263,104.475,0,0,-104.475,104.475,263,0,0,0,10,18,35.7284,69.6611,1.5
265,98.9001,0,0,-98.9001,98.9001,265,0,0,0,10,12,-16.4083,77.1281,1.5
266,101.392,0,0,-101.392,101.392,266,0,0,0,10,14,-30.2987,73.3447,1.5
16232217,82.2156,0,0,-82.2156,82.2156,81,6,1.53407,22.633,1.5,0,0,0,10
16232228,83.7694,0,0,-83.7694,83.7694,92,4,-11.3816,23.54,1.5,0,0,0,10
16232231,83.5961,0,0,-83.5961,83.5961,95,7,6.81259,26.2351,1.5,0,0,0,10
16232236,83.9173,0,0,-83.9173,83.9173,100,19,9.03328,27.1796,1.5,0,0,0,10
16232249,84.6558,0,0,-84.6558,84.6558,113,9,5.56353,32.1928,1.5,0,0,0,10
16232250,84.5726,0,0,-84.5726,84.5726,114,1,-8.2831,32.089,1.5,0,0,0,10
16232258,85.257,0,0,-85.257,85.257,122,16,10.7662,33.9139,1.5,0,0,0,10
16232305,96.8431,0,0,-96.8431,96.8431,169,13,20.7076,45.3977,1.5,0,0,0,10
16232310,99.1425,0,0,-99.1425,99.1425,174,2,-2.22945,51.5363,1.5,0,0,0,10
16232312,95.974,0,0,-95.974,95.974,176,20,14.3332,50.0297,1.5,0,0,0,10
